city_name;cdek_id;region_name;regionCode;subRegion;kladr;paymentLimit
"Малая Артемовка";80195;"Владимирская обл.";17;"  Гусь-хрустальный р-н";0
"Отрадное пос";984;"Ленинградская обл.";26;" Выборгский р-н";-1;Europe/Moscow
"Химки Новые";45;"Московская обл.";9;;-1
"Ильинка (Марковский с/с)";13720;"Марий Эл респ.";32;" Оршанский р-н";0
Данилово;13734;"Марий Эл респ.";32;" Советский р-н";-1
"Первое Мая им пос";13637;"Нижегородская обл.";67;" Богородский р-н";-1;Europe/Moscow
"Лукино п.";13667;"Курская обл.";62;;-1;Europe/Moscow
"им. Полины Осипенко";13673;"Хабаровский край";14;;0
Входная;13468;"Омская обл.";15;;-1;Asia/Omsk
"Бирюзовая Катунь";13477;"Алтайский край";2;;-1
Говорово;13366;"Московская обл.";9;" Ленинский р-он";-1
Новозаведеное;13572;"Ставропольский край";19;;-1
Сокол;13611;"Саратовская обл.";47;;-1
Пролетарский;13381;"Красноярский край";13;;0;Europe/Moscow
Лесная;13496;"Забайкальский край";49;;0
"Большая Марха";13426;"Саха респ. (Якутия)";10;;-1
"Достоевское лесничество";17298;"Московская обл.";9;" Каширский г.о.";-1
Лазо;16954;"Приморский край";18;;0
"Подсобное х-во Биостанция";17340;"Московская обл.";9;;-1;Europe/Moscow
Прогресс;17344;"Московская обл.";9;;-1
Бродок;17003;"Белгородская обл.";16;" Белгородский р-н";-1
Горки;17213;"Московская обл.";9;" Ленинский р-н";-1
"Малое Завалье";17328;"Московская обл.";9;;-1
"Малое Кропотово";17330;"Московская обл.";9;;-1
Терново;17365;"Московская обл.";9;;-1
Центролит;17374;"Московская обл.";9;;-1
"Терново Центральная усадьба";17383;"Московская обл.";9;;-1
Новоархангельское;24004;"Московская обл.";9;" Красногорский р-н";-1
Тараскуль;24505;"Тюменская обл.";52;;-1
Ульянинское;24513;"Московская обл.";9;" Раменский р-н";-1
Строитель;24309;"Московская обл.";9;" Раменский р-н";-1;Europe/Moscow
